Contract,Version,Procurement Type,Description,Max Amt,Begin Dt,Expire Dt,Supplier,Dept,Agency Name,Contract Duration (Days),Vendor Frequency,Total Agency Spend,Risk Score,Risk Level
DA18031,4,RFP DA52445,DA On-lineLegalReseachWestlaw,342299.52,1/1/2019,12/31/2024,THOMSON REUTERS,8200000000,DISTRICT ATTORNEY,2191,7," $3,166,321.66 ",3,Medium Risk
DA18031,5,RFP DA52445,DA On-lineLegalReseachWestlaw,401362.8,1/1/2019,12/31/2025,THOMSON REUTERS,8200000000,DISTRICT ATTORNEY,2556,7," $3,166,321.66 ",3,Medium Risk
DA19002,1,EXO EXEMPT EXPERT WITNESS,DA Expert Witness Case17029549,6000,2/8/2019,2/7/2021,GLEN R HANSON,8200000000,DISTRICT ATTORNEY,730,1," $3,166,321.66 ",2,Low Risk
DA19003,1,EXO EXEMPT INTERGOVERNMENTAL,DA MOU UPD/CJC,1,1/17/2019,1/16/2029,UNIFIED POLICE DEPARTMENT,8200000000,DISTRICT ATTORNEY,3652,20," $3,166,321.66 ",3,Medium Risk
DA19007,1,EXI EXEMPT INTERGOVERNMENTAL,DA MOU CJC Advisory Board,1,3/22/2019,3/26/2024,SALT LAKE COUNTY,8200000000,DISTRICT ATTORNEY,1831,153," $3,166,321.66 ",2,Low Risk
DA19010,1,EXO EXEMPT LEGAL,DA Series 2019 Note Counsel,9750,4/30/2019,12/31/2019,CHAPMAN AND CUTLER LLP,8200000000,DISTRICT ATTORNEY,245,3," $3,166,321.66 ",2,Low Risk
DA19011,1,RFP DA58278,DA Traffic Accident Appraisal,0,7/25/2019,7/25/2025,CRAWFORD & COMPANY,6100000000,CONTRACTS AND PROCUREMENT,2192,1, $-   ,0,Low Risk
DA19013,1,EXO/RFC EXEMPT AFTER RFC,DA Snow Removal at CJC,0,1/27/2020,1/26/2025,WAYMAN BROS LANDSCAPING & DESIGN INC,8200000000,DISTRICT ATTORNEY,1826,2," $3,166,321.66 ",2,Low Risk
DA19040,1,EXO EXEMPT SUBSCRIPTION,DA CLEAR Services,82119.12,12/24/2019,12/23/2022,THOMSON REUTERS,8200000000,DISTRICT ATTORNEY,1095,7," $3,166,321.66 ",5,Medium Risk
DA19041,1,EXO EXEMPT SMALL COST,DA CLEAR to Penlink,1380,1/1/2020,12/31/2020,THOMSON REUTERS,8200000000,DISTRICT ATTORNEY,365,7," $3,166,321.66 ",4,Medium Risk
DA19043,1,RFC DA58550,DA Window Washing,0,7/25/2019,7/25/2024,BUSINESS CLEANING SYSTEMS,6100000000,CONTRACTS AND PROCUREMENT,1827,3, $-   ,1,Low Risk
DA2011,1,EXO EXEMPT,DA-ProsecutionBestPracticeConf,29030,2/28/2020,10/15/2020,SHERATON CITY CENTER HOTEL,8200000000,DISTRICT ATTORNEY,230,6," $3,166,321.66 ",5,Medium Risk
DA2012,1,EXO EXEMPT OTHER,DA YMCA Camp Hope SLC,16500,3/3/2020,7/3/2020,YMCA OF NORTHERN UTAH,8200000000,DISTRICT ATTORNEY,122,9," $3,166,321.66 ",2,Low Risk
DA2020,1,RFQ DA65091,DA Landscapingn @ CJC SLC&SJ,50000,5/19/2020,5/20/2025,WAYMAN BROS LANDSCAPING & DESIGN INC,8200000000,DISTRICT ATTORNEY,1827,2," $3,166,321.66 ",0,Low Risk
DA2022,1,EXO EXEMPT,DA Hotel Best Prosecuting Prac,0,8/27/2020,10/14/2021,SHERATON CITY CENTER HOTEL,8200000000,DISTRICT ATTORNEY,413,6," $3,166,321.66 ",4,Medium Risk
DA2022,2,EXO EXEMPT,DA Hotel Best Prosecuting Prac,0,8/27/2020,5/5/2022,SHERATON CITY CENTER HOTEL,8200000000,DISTRICT ATTORNEY,616,6," $3,166,321.66 ",4,Medium Risk
DA2022,3,EXO EXEMPT,DA Hotel Best Prosecuting Prac,0,8/27/2020,10/8/2022,SHERATON CITY CENTER HOTEL,8200000000,DISTRICT ATTORNEY,772,6," $3,166,321.66 ",4,Medium Risk
DA2022,4,EXO EXEMPT,DA Hotel Best Prosecuting Prac,0,8/27/2020,10/8/2022,SHERATON CITY CENTER HOTEL,8200000000,DISTRICT ATTORNEY,772,6," $3,166,321.66 ",4,Medium Risk
DA2025,1,EXO EXEMPT LEGAL SERVICES,DA Expert Witness/Consultation,100000,9/29/2020,9/28/2022,BRENT EYRE ASA,8200000000,DISTRICT ATTORNEY,729,3," $3,166,321.66 ",5,Medium Risk
DA2025,2,EXO EXEMPT LEGAL SERVICES,DA Expert Witness/Consultation,100000,9/29/2020,9/28/2024,BRENT EYRE ASA,8200000000,DISTRICT ATTORNEY,1460,3," $3,166,321.66 ",5,Medium Risk
DA2025,3,EXO EXEMPT LEGAL SERVICES,DA Expert Witness/Consultation,100000,9/29/2020,9/28/2026,BRENT EYRE ASA,8200000000,DISTRICT ATTORNEY,2190,3," $3,166,321.66 ",5,Medium Risk
DA2028,1,EXO BASEDONSTATECONTRACTAR455,DA Sharp Copier Lease,0,10/29/2020,10/28/2025,LES OLSON CO,8200000000,DISTRICT ATTORNEY,1825,13," $3,166,321.66 ",0,Low Risk
DA2032,1,EXO EXEMPT LEGAL,DA BondCounsel2020GeneralOblig,10000,11/5/2020,12/31/2020,CHAPMAN AND CUTLER LLP,8200000000,DISTRICT ATTORNEY,56,3," $3,166,321.66 ",3,Medium Risk
DA2033,1,EXS EXEMPT SOLE SOURCE,DA Electronic Data Interchange,0,12/9/2020,12/8/2030,EBIX COM INC,8200000000,DISTRICT ATTORNEY,3651,1," $3,166,321.66 ",2,Low Risk
DA21011,1,EXO EXEMPT SMALL COST,DA Preventive Maintenance,9405,4/1/2021,3/31/2024,SPACESAVER INTERMOUNTAIN LLC,8200000000,DISTRICT ATTORNEY,1095,3," $3,166,321.66 ",3,Medium Risk
DA21016,1,EXO EXEMPT LEGAL SERVICES,DA Expert Witness K9-Caused In,0,5/24/2021,5/23/2023,STATE OF UTAH,8200000000,DISTRICT ATTORNEY,729,106," $3,166,321.66 ",2,Low Risk
DA21018,1,EXO EXEMPT LEGAL SERVICES,DA Expert Witness K9-Caused In,0,3/26/2021,3/25/2023,KENNETH R WALLENTINE,8200000000,DISTRICT ATTORNEY,729,1," $3,166,321.66 ",2,Low Risk
DA21019,1,EXO EXEMPT OTHER,DA YMCA Camp Hope SLC,81200,5/21/2021,7/2/2021,YMCA OF NORTHERN UTAH,8200000000,DISTRICT ATTORNEY,42,9," $3,166,321.66 ",4,Medium Risk
DA21030,1,EXO EXEMPT LEGAL SERVICES,DA Expert Witness/Consultation,50000,11/24/2021,11/23/2026,NANCY B COHN PHD PC,8200000000,DISTRICT ATTORNEY,1825,1," $3,166,321.66 ",3,Medium Risk
DA21050,1,RFP FAC76702,DA Office Bldg Heat Tape,21593.11,11/30/2021,6/30/2023,STALLINGS CONSTRUCTION INC,8200000000,DISTRICT ATTORNEY,577,785," $3,166,321.66 ",2,Low Risk
DA21050,2,RFP FAC76702,DA Office Bldg Heat Tape,21593.11,11/30/2021,6/30/2023,STALLINGS CONSTRUCTION INC,8200000000,DISTRICT ATTORNEY,577,785," $3,166,321.66 ",2,Low Risk
DA21051,1,RFP FAC76702,DA Office GarageFencing 1&4,12359.66,11/30/2021,6/30/2023,STALLINGS CONSTRUCTION INC,8200000000,DISTRICT ATTORNEY,577,785," $3,166,321.66 ",2,Low Risk
DA21052,1,RFP FAC76702,DA Office Special Investigatio,29069.19,11/30/2021,6/30/2023,STALLINGS CONSTRUCTION INC,8200000000,DISTRICT ATTORNEY,577,785," $3,166,321.66 ",2,Low Risk
DA21052,2,RFP FAC76702,DA Office Special Investigatio,29069.19,11/30/2021,6/30/2023,STALLINGS CONSTRUCTION INC,8200000000,DISTRICT ATTORNEY,577,785," $3,166,321.66 ",2,Low Risk
DA22006,1,EXO EXEMPT LEGAL SERVICES,DA Expert Parleys CanyonMine,20000,2/17/2022,2/16/2024,PARSONS BEHLE & LATIMER,8200000000,DISTRICT ATTORNEY,729,4," $3,166,321.66 ",4,Medium Risk
DA22006,2,EXO EXEMPT LEGAL SERVICES,DA Expert Parleys CanyonMine,70000,2/17/2022,2/16/2024,PARSONS BEHLE & LATIMER,8200000000,DISTRICT ATTORNEY,729,4," $3,166,321.66 ",4,Medium Risk
DA22006,3,EXO EXEMPT LEGAL SERVICES,DA Expert Parleys CanyonMine,120000,2/17/2022,2/16/2024,PARSONS BEHLE & LATIMER,8200000000,DISTRICT ATTORNEY,729,4," $3,166,321.66 ",7,High Risk
DA22006,4,EXO EXEMPT LEGAL SERVICES,DA Expert Parleys CanyonMine,140000,2/17/2022,2/16/2024,PARSONS BEHLE & LATIMER,8200000000,DISTRICT ATTORNEY,729,4," $3,166,321.66 ",7,High Risk
DA22014,1,EXO EXEMPT OTHER,DA YMCA Camp Hope SLC,39600,6/3/2022,7/2/2022,YMCA OF NORTHERN UTAH,8200000000,DISTRICT ATTORNEY,29,9," $3,166,321.66 ",4,Medium Risk
DA22034,1,EXO EXEMPT SMALL COST,DA Mailing Equipment Lease,4674,9/7/2022,9/6/2027,PITNEY BOWES INC,8200000000,DISTRICT ATTORNEY,1825,5," $3,166,321.66 ",2,Low Risk
DA22038,1,EXO EXEMPT OTHER,DA LexisNexis Risk Solutions,0,9/19/2022,9/18/2032,LEXIS-NEXIS INC,8200000000,DISTRICT ATTORNEY,3652,10," $3,166,321.66 ",4,Medium Risk
DA23004,1,EXO EXEMPT OTHER,DA YMCA Camp HOPE SLC,50000,5/5/2023,7/15/2023,YMCA OF NORTHERN UTAH,8200000000,DISTRICT ATTORNEY,71,9," $3,166,321.66 ",4,Medium Risk
DA23005,1,EXO EXEMPT LEGAL SVCS,"DA Legal Svcs, Internal Invest",25000,4/20/2023,4/19/2025,RAY QUINNEY & NEBEKER PC,8200000000,DISTRICT ATTORNEY,730,2," $3,166,321.66 ",2,Low Risk
DA23005,2,EXO EXEMPT LEGAL SVCS,"DA Legal Svcs, Internal Invest",40000,4/20/2023,4/19/2025,RAY QUINNEY & NEBEKER PC,8200000000,DISTRICT ATTORNEY,730,2," $3,166,321.66 ",2,Low Risk
DA23009,1,EXO STATE CONTRACT MA4092,DA Formax Inserter Lease,65882,8/18/2023,8/17/2028,LES OLSON CO,8200000000,DISTRICT ATTORNEY,1826,13," $3,166,321.66 ",0,Low Risk
DA23010,1,EXO EXEMPT NO COST,DA Equipment Loan Agreement,1,8/10/2023,8/18/2023,LEXIS-NEXIS INC,8200000000,DISTRICT ATTORNEY,8,10," $3,166,321.66 ",4,Medium Risk
DA23012,1,EXO EXEMPT LEGAL SERVICES,DA Expert Witness,0,9/1/2023,8/31/2024,LEXIS-NEXIS INC,8200000000,DISTRICT ATTORNEY,365,10," $3,166,321.66 ",5,Medium Risk
DA23029,1,EXI EXEMPT INTERLOCAL,DA Collaborations & Project Id,1,12/20/2023,12/20/2024,UTAH STATE UNIVERSITY,8200000000,DISTRICT ATTORNEY,366,48," $3,166,321.66 ",2,Low Risk
DA23034,1,EXO EXEMPT SMALL COST,DA Formax Maintenance,10000,8/30/2023,8/29/2028,LES OLSON CO,8200000000,DISTRICT ATTORNEY,1826,13," $3,166,321.66 ",3,Medium Risk
DA23038,1,EXS SOLE SOURCE DA092523,DA YMCA Camp HOPE SLC,62175,1/2/2024,7/13/2024,YMCA OF NORTHERN UTAH,8200000000,DISTRICT ATTORNEY,193,9," $3,166,321.66 ",2,Low Risk
DA23038,2,EXS SOLE SOURCE DA092523,DA YMCA Camp HOPE SLC,92561,1/2/2024,7/3/2025,YMCA OF NORTHERN UTAH,8200000000,DISTRICT ATTORNEY,548,9," $3,166,321.66 ",2,Low Risk
DA24003,1,EXO EXEMPT LEGAL SERVICES,DA Expert Witness,4800,1/25/2024,1/24/2029,THOMAS JARED BUNCH,8200000000,DISTRICT ATTORNEY,1826,1," $3,166,321.66 ",3,Medium Risk
DA24005,1,EXO EXEMPT SMALL COST,DA Preventive Maintenance,9405,4/1/2024,3/31/2027,SPACESAVER INTERMOUNTAIN LLC,8200000000,DISTRICT ATTORNEY,1094,3," $3,166,321.66 ",3,Medium Risk
DA24009,1,EXO EXEMPT SMALL COST,DA FundraisingConsultingServic,4999,3/15/2024,5/30/2024,PATHWAY GROUP,8200000000,DISTRICT ATTORNEY,76,10," $3,166,321.66 ",3,Medium Risk
DA24010,1,EXO EXEMPT INTERGOVERNMENTAL,DA MOU ChildrensJusticeCenter,1,3/19/2024,3/18/2029,SALT LAKE COUNTY,8200000000,DISTRICT ATTORNEY,1825,153," $3,166,321.66 ",3,Medium Risk
DA24011,1,EXI EXEMPT INTERGOVERNMENTAL,DA MOU CJC Advisory Board,1,3/26/2024,3/26/2034,SALT LAKE COUNTY,8200000000,DISTRICT ATTORNEY,3652,153," $3,166,321.66 ",2,Low Risk
DA24017,1,EXO EXEMPT LEGAL,DA BondCounselFY24-27GeneralOb,120000,4/22/2024,12/31/2027,CHAPMAN AND CUTLER LLP,8200000000,DISTRICT ATTORNEY,1348,3," $3,166,321.66 ",6,High Risk
DA24018,1,EXO EXEMPT,DA Survivor-CenteredCollaborat,1,10/1/2024,9/30/2027,YWCA UTAH,8200000000,DISTRICT ATTORNEY,1094,14," $3,166,321.66 ",3,Medium Risk
DA24020,1,EXO EXEMPT LEGAL SERVICES,DA Expert Witness,30000,8/7/2024,8/6/2029,IHC HEALTH SERVICES INC,8200000000,DISTRICT ATTORNEY,1825,8," $3,166,321.66 ",3,Medium Risk
DA24027,1,RFC DA110994,DA Window Washing,0,7/8/2024,7/7/2029,BUSINESS CLEANING SYSTEMS,8200000000,DISTRICT ATTORNEY,1825,3," $3,166,321.66 ",1,Low Risk
DA24030,1,EXO EXEMPT OTHER,DA Child Abuse Services,1,7/29/2024,6/30/2029,IHC HEALTH SERVICES INC,8200000000,DISTRICT ATTORNEY,1797,8," $3,166,321.66 ",2,Low Risk
DA24040,1,EXO EXEMPT NO COST,DA Equipment Loan Agreement,1,9/10/2024,9/28/2024,LEXIS-NEXIS INC,8200000000,DISTRICT ATTORNEY,18,10," $3,166,321.66 ",4,Medium Risk
DA24048,1,EXO LEASE,DA Commercial Office Lease,0,11/15/2024,11/14/2029,YWCA UTAH,8200000000,DISTRICT ATTORNEY,1825,14," $3,166,321.66 ",0,Low Risk
DA25005,1,EXO EXEMPT NO COST,DA Equipment Loan Agreement,1,3/13/2025,3/17/2025,LEXIS-NEXIS INC,8200000000,DISTRICT ATTORNEY,4,10," $3,166,321.66 ",4,Medium Risk
DA25006,1,EXO EXEMPT SMALL COST,DA Interpretation Services,10000,3/19/2025,3/18/2026,LINGUISTICA INTERNATIONAL INC,8200000000,DISTRICT ATTORNEY,364,2," $3,166,321.66 ",3,Medium Risk
DA25010,1,EXI EXEMPT INTERLOCAL,DA EIP Initiative UPD Staff,0,5/1/2025,4/30/2030,UNIFIED POLICE DEPARTMENT,8200000000,DISTRICT ATTORNEY,1825,20," $3,166,321.66 ",2,Low Risk
DRD51606,1,RFP DRD51606,DRD Visitor&PromotionMngmnt,0,1/1/2019,12/31/2021,SALT LAKE CONVENTION AND VISITORS BUREAU,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",1095,12," $379,292,208.65 ",3,Medium Risk
DRD51606,2,RFP DRD51606,DRD VisitorPrmtnMgmntCOVID Amd,0,1/1/2019,12/31/2021,SALT LAKE CONVENTION AND VISITORS BUREAU,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",1095,12," $379,292,208.65 ",3,Medium Risk
DRD51606,3,RFP DRD51606,DRD VisitorPrmtnMgmntCOVID Amd,0,1/1/2019,12/31/2021,SALT LAKE CONVENTION AND VISITORS BUREAU,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",1095,12," $379,292,208.65 ",3,Medium Risk
DRD51606,4,RFP DRD51606,DRD VisitorPrmtnMgmntCOVID Amd,0,1/1/2019,12/31/2024,SALT LAKE CONVENTION AND VISITORS BUREAU,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2191,12," $379,292,208.65 ",3,Medium Risk
DRD51606,5,RFP DRD51606,DRD VisitorPrmtnMgmntCOVID Amd,0,1/1/2019,12/31/2024,SALT LAKE CONVENTION AND VISITORS BUREAU,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2191,12," $379,292,208.65 ",3,Medium Risk
DRD51606,6,RFP DRD51606,DRD VisitorPrmtnMgmntCOVID Amd,0,1/1/2019,12/31/2024,SALT LAKE CONVENTION AND VISITORS BUREAU,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2191,12," $379,292,208.65 ",3,Medium Risk
DRD51606,7,RFP DRD51606,DRD VisitorPrmtnMgmntCOVID Amd,0,1/1/2019,12/31/2027,SALT LAKE CONVENTION AND VISITORS BUREAU,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",3286,12," $379,292,208.65 ",3,Medium Risk
ERA2001,1,RFA REQUEST FOR APPLICATIONS,ORD COVID EmrgncyRentalAssist2,48815,3/14/2022,12/31/2022,ALLIANCE COMMUNITY SERVICES,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",292,10," $379,292,208.65 ",1,Low Risk
ERA2002,1,RFA REQUEST FOR APPLICATIONS,ORD COVID EmrgncyRentalAssist2,50000,3/8/2022,12/31/2022,ASIAN ASSOCATION OF UTAH,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",298,40," $379,292,208.65 ",1,Low Risk
ERA2004,1,RFA REQUEST FOR APPLICATIONS,ORD COVID EmrgncyRentalAssist2,40448,3/8/2022,12/31/2022,URBAN INDIAN CENTER SALT LAKE,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",298,10," $379,292,208.65 ",1,Low Risk
ERA2005,1,RFA REQUEST FOR APPLICATIONS,ORD COVID EmrgncyRentalAssist2,50000,3/29/2022,12/31/2022,UTAH STATE UNIVERSITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",277,48," $379,292,208.65 ",1,Low Risk
ERAP0001,1,RFA REQUEST FOR APPLICATIONS,ORD COVID EmrgncyRentalAssista,70000,4/30/2021,12/31/2021,ALLIANCE COMMUNITY SERVICES,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",245,10," $379,292,208.65 ",1,Low Risk
ERAP0002,1,RFA REQUEST FOR APPLICATIONS,ORD COVID EmrgncyRentalAssista,95000,4/20/2021,12/31/2021,ASIAN ASSOCATION OF UTAH,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",255,40," $379,292,208.65 ",1,Low Risk
ERAP0003,1,RFA REQUEST FOR APPLICATIONS,ORD COVID EmrgncyRentalAssista,76636,4/21/2021,12/31/2021,CENTRO DE LA FAMILIA DE UTAH,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",254,9," $379,292,208.65 ",1,Low Risk
ERAP0007,1,RFA REQUEST FOR APPLICATIONS,ORD COVID EmrgncyRentalAssista,37805,4/27/2021,12/31/2021,INTERNATIONAL RESCUE COMMITTEE INC,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",248,19," $379,292,208.65 ",1,Low Risk
ERAP0015,1,RFA REQUEST FOR APPLICATIONS,ORD COVID EmrgncyRentalAssista,42535,5/12/2021,12/31/2021,THE SALVATION ARMY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",233,1," $379,292,208.65 ",1,Low Risk
ERAP0016,1,RFA REQUEST FOR APPLICATIONS,ORD COVID EmrgncyRentalAssista,200000,4/21/2021,12/31/2021,UNIVERSITY OF UTAH,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",254,92," $379,292,208.65 ",3,Medium Risk
ERAP0017,1,RFA REQUEST FOR APPLICATIONS,ORD COVID EmrgncyRentalAssista,29395,5/12/2021,12/31/2021,URBAN INDIAN CENTER SALT LAKE,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",233,10," $379,292,208.65 ",1,Low Risk
ERAP0018,1,RFA REQUEST FOR APPLICATIONS,ORD COVID EmrgncyRentalAssista,50000,5/3/2021,12/31/2021,UTAH STATE UNIVERSITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",242,48," $379,292,208.65 ",1,Low Risk
FAC100483,1,RFP FAC95178,FAC ADC RoofTopUnitsArchitectu,174000,7/20/2023,12/31/2025,HHY ASSOCIATES,5050000000,CAPITAL IMPROVEMENTS,895,43," $65,930,568.04 ",3,Medium Risk
FAC100483,2,RFP FAC95178,FAC ADC RoofTopUnitsArchitectu,184693.8,7/20/2023,12/31/2025,HHY ASSOCIATES,5050000000,CAPITAL IMPROVEMENTS,895,43," $65,930,568.04 ",3,Medium Risk
FAC101210,1,CON FAC101210,FAC OxbowJailWaterHeaterReplac,171355.55,8/2/2023,12/9/2024,COMBUSTION AND CONTROL SERVICE LLC,6300000000,FACILITIES SERVICES,495,4," $8,792,208.80 ",1,Low Risk
FAC101210,2,CON FAC101210,FAC OxbowJailWaterHeaterReplac,171355.55,8/2/2023,12/9/2024,COMBUSTION AND CONTROL SERVICE LLC,5050000000,CAPITAL IMPROVEMENTS,495,4," $65,930,568.04 ",1,Low Risk
FAC101680,1,CON FAC101725,FAC ADC Elevator Replacement,2900300,8/17/2023,11/15/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,1186,785," $65,930,568.04 ",4,Medium Risk
FAC101680,2,CON FAC101725,FAC ADC Elevator Replacement,2900300,8/17/2023,8/21/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,1100,785," $65,930,568.04 ",4,Medium Risk
FAC101680,3,CON FAC101725,FAC ADC Elevator Replacement,2906445.95,8/17/2023,8/23/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,1102,785," $65,930,568.04 ",4,Medium Risk
FAC101725,1,CON FAC101725,FAC UPD GunRangeSandTrapRepair,988300,8/17/2023,1/15/2025,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,517,785," $65,930,568.04 ",5,Medium Risk
FAC101725,2,CON FAC101725,FAC UPD GunRangeSandTrapRepair,1010925.72,8/17/2023,1/15/2025,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,517,785," $65,930,568.04 ",5,Medium Risk
FAC105379,1,RFP FAC105379,FAC ADC KitchenRemodel Design&,579150,2/7/2024,12/31/2027,ARCHITECTURAL NEXUS INC,5050000000,CAPITAL IMPROVEMENTS,1423,65," $65,930,568.04 ",4,Medium Risk
FAC109563,1,RFC FAC109563 UPS MAINTENANCE,UPS Battery Backup Maintenance,0,8/9/2024,8/9/2029,WHEELER MACHINERY COMPANY,6100000000,CONTRACTS AND PROCUREMENT,1826,8, $-   ,2,Low Risk
FAC109624,1,CON FAC109624,FAC YS Group Home 2 Re-Roof,86659,8/7/2024,11/6/2025,CLARKS QUALITY ROOFING INC,5050000000,CAPITAL IMPROVEMENTS,456,4," $65,930,568.04 ",0,Low Risk
FAC109810-1,1,CON FAC109810-1,FAC Sheriff Office Fence,1091400,9/12/2024,1/25/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,500,785," $65,930,568.04 ",4,Medium Risk
FAC109810-1,2,CON FAC109810-1,FAC Sheriff Office Fence,1098429.6,9/12/2024,1/25/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,500,785," $65,930,568.04 ",4,Medium Risk
FAC110321,1,CON FAC110321,FAC Youth Srvcs JRC Siding,620100,10/14/2024,2/20/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,494,785," $65,930,568.04 ",4,Medium Risk
FAC110624,1,EXS SOLE SOURCE FAC110624,FAC MidvaleSeniorCenterHVAC,215000,1/21/2025,7/31/2027,ARCHITECTURAL NEXUS INC,5050000000,CAPITAL IMPROVEMENTS,921,65," $65,930,568.04 ",6,High Risk
FAC110624,2,EXS SOLE SOURCE FAC110624,FAC MidvaleSeniorCenterHVAC,217400,1/21/2025,7/31/2027,ARCHITECTURAL NEXUS INC,5050000000,CAPITAL IMPROVEMENTS,921,65," $65,930,568.04 ",6,High Risk
FAC111432-1,1,CON FAC111432-1,FAC ADC Kitchen Renovation,6210500,11/14/2024,8/23/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,647,785," $65,930,568.04 ",4,Medium Risk
FAC111432-1,2,CON FAC111432-1,FAC ADC Kitchen Renovation,6259650.96,11/14/2024,8/23/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,647,785," $65,930,568.04 ",4,Medium Risk
FAC111432-1,3,CON FAC111432-1,FAC ADC Kitchen Renovation,6385964.25,11/14/2024,9/12/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,667,785," $65,930,568.04 ",4,Medium Risk
FAC111432-1,4,CON FAC111432-1,FAC ADC Kitchen Renovation,6617456.35,11/14/2024,9/29/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,684,785," $65,930,568.04 ",4,Medium Risk
FAC111458-1,1,CON FAC111458-1,FAC ADC SewerVacuumPhaseOne,409300,10/9/2024,5/7/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,575,785," $65,930,568.04 ",3,Medium Risk
FAC112729,1,RFP FAC112729,FAC Aging Services Master Plan,146200,11/4/2024,4/30/2025,EDA ARCHITECTS,5050000000,CAPITAL IMPROVEMENTS,177,1," $65,930,568.04 ",0,Low Risk
FAC112874-1,1,FAC112874 ELEC SUPPLIES RFC,FAC112874 Elec Supplies RFC,0,10/10/2024,10/11/2029,BORDER STATES INDUSTRIES INC,6300003000,ELECTRICAL,1827,2, $-   ,0,Low Risk
FAC114411,1,CON FAC114411,FAC ADC Shower Refurb Phase 1,1776300,11/14/2024,11/11/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,727,785," $65,930,568.04 ",4,Medium Risk
FAC114411,2,CON FAC114411,FAC ADC Shower Refurb Phase 1,1797901.72,11/14/2024,11/11/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,727,785," $65,930,568.04 ",4,Medium Risk
FAC114757,1,CON FAC114757,FAC ADC RTU Phase 3,2731000,11/25/2024,3/5/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,465,785," $65,930,568.04 ",4,Medium Risk
FAC118502-1,1,RFC FAC118502,FAC Fire and Security Systems,0,3/17/2025,3/16/2030,MOUNTAIN ALARM,6310000000,FACILITIES MANAGEMENT,1825,7," $3,934,219.51 ",0,Low Risk
FAC118502-2,1,RFC FAC118502,FAC Fire and Security Systems,0,3/17/2025,3/16/2030,MOUNTAIN ALARM,6310000000,FACILITIES MANAGEMENT,1825,7," $3,934,219.51 ",0,Low Risk
FAC12220,1,CON FAC12220,FAC KearnsSeniorCntrRooftopUni,270900,2/9/2021,7/1/2022,STALLINGS CONSTRUCTION INC,6300000000,FACILITIES SERVICES,507,785," $8,792,208.80 ",3,Medium Risk
FAC12220,2,CON FAC12220,FAC KearnsSeniorCntrRooftopUni,273414.65,2/9/2021,7/1/2022,STALLINGS CONSTRUCTION INC,6300000000,FACILITIES SERVICES,507,785," $8,792,208.80 ",3,Medium Risk
FAC12819,1,CON FAC12819,FLM SLCo Fleet Fueling,1174700,7/10/2020,11/25/2021,STALLINGS CONSTRUCTION INC,6800000000,FLEET MANAGEMENT,503,785," $3,683,225.51 ",4,Medium Risk
FAC12819,2,CON FAC12819,FLM SLCo Fleet Fueling,1187406.45,7/10/2020,6/16/2023,STALLINGS CONSTRUCTION INC,6800000000,FLEET MANAGEMENT,1071,785," $3,683,225.51 ",4,Medium Risk
